,country_code,gdp_per_capita,total_co2,co2_per_cap,population,country_x,country_y,standardized
166,MLI,894.8048435,5469.99979,0.286721356,19077755,Mali,Mali,Mali
167,MLT,31573.11656,1549.999952,3.198316143,484630,Malta,Malta,Malta
168,MHL,3793.550983,180.0000072,3.081558706,58412,Marshall Islands,Marshall Islands,Marshall Islands
169,MRT,1669.773476,3690.000057,0.838005587,4403312,Mauritania,Mauritania,Mauritania
170,MUS,11208.34382,4130.000114,3.264040403,1265303,Mauritius,Mauritius,Mauritius
171,MEX,9686.984927,452570.0073,3.58639514,126190782,Mexico,Mexico,Mexico
172,FSM,3568.291016,170.0000018,1.50923297,112640,"Micronesia, Fed. Sts.","Micronesia, Fed. Sts.",Micronesia (Federated States of)
173,MDA,4230.626969,8539.999962,3.153369697,2708214,Moldova,Moldova,Moldova
174,MCO,185978.6093,,,38682,Monaco,Monaco,Monaco
175,MNG,4156.84697,21549.99924,6.79764812,3170214,Mongolia,Mongolia,Mongolia
176,MNE,8850.378404,2500,4.017826292,622227,Montenegro,Montenegro,Montenegro
177,MAR,3226.98291,64959.99908,1.802987555,36029089,Morocco,Morocco,Morocco
178,MOZ,503.3020092,6949.999809,0.235625091,29496009,Mozambique,Mozambique,Mozambique
179,MMR,1250.173685,32939.99863,0.613312795,53708318,Myanmar,Myanmar,Myanmar
180,NAM,5588.392864,4230.000019,1.727729453,2448300,Namibia,Namibia,Namibia
181,NRU,11614.66508,59.99999866,5.619029655,10678,Nauru,Nauru,Nauru
182,NPL,1178.525957,15189.99958,0.540651882,28095712,Nepal,Nepal,Nepal
183,NLD,53044.53244,151360.0006,8.783850008,17231624,Netherlands,Netherlands,Netherlands
184,NCL,36382.49553,,,270650,New Caledonia,New Caledonia,New Caledonia
185,NZL,43250.44097,32360.00061,6.603273193,4900600,New Zealand,New Zealand,New Zealand
186,NIC,2014.575189,5110.000134,0.79034855,6465502,Nicaragua,Nicaragua,Nicaragua
187,NER,570.723922,1950.000048,0.086887436,22442831,Niger,Niger,Niger (the)
188,NGA,2027.778549,109889.9994,0.561021958,195874685,Nigeria,Nigeria,Nigeria
189,MKD,6108.740108,7300.000191,3.51601022,2076217,North Macedonia,North Macedonia,Niue
190,MNP,22886.67405,,,56889,Northern Mariana Islands,Northern Mariana Islands,Northern Mariana Islands
191,NOR,82267.80932,37590.00015,7.076542655,5311916,Norway,Norway,Norway
192,OMN,18947.3665,75599.99847,15.65387186,4829476,Oman,Oman,Oman
193,PAK,1678.04315,187309.9976,0.882587328,212228288,Pakistan,Pakistan,Pakistan
194,PLW,15895.2599,250,13.95790296,17911,Palau,Palau,Palau
195,PAN,15544.99908,10060.00042,2.408503314,4176868,Panama,Panama,Panama
196,PNG,2801.371393,7559.999943,0.878423813,8606324,Papua New Guinea,Papua New Guinea,Papua New Guinea
197,PRY,5782.78455,8470.000267,1.217641784,6956069,Paraguay,Paraguay,Paraguay
198,PER,6958.497262,54590.00015,1.706509986,31989265,Peru,Peru,Peru
199,PHL,3252.110274,138570.0073,1.299279851,106651394,Philippines,Philippines,Philippines
200,POL,15468.48222,311910.0037,8.213615723,37974750,Poland,Poland,Poland
201,PRT,23562.55452,49500,4.813385529,10283822,Portugal,Portugal,Portugal
202,PRI,31604.70151,,,3193354,Puerto Rico,Puerto Rico,Puerto Rico
203,QAT,65907.94843,86419.99817,31.0675333,2781682,Qatar,Qatar,Qatar
204,ROU,12398.98198,75190.00244,3.86105157,19473970,Romania,Romania,Romania
205,RUS,11287.36035,1661000,11.49657125,144477859,Russian Federation,Russian Federation,Russian Federation (the)
206,RWA,783.8127901,1289.999962,0.104861259,12301969,Rwanda,Rwanda,Rwanda
207,WSM,4187.504787,289.9999917,1.478626161,196128,Samoa,Samoa,Samoa
208,SMR,48996.59299,,,33784,San Marino,San Marino,San Marino
209,STP,1953.513257,140.0000006,0.6634065,211032,São Tomé and Principe,São Tomé and Principe,São Tomé and Principe
210,SAU,24228.83904,521260.0098,15.46639077,33702757,Saudi Arabia,Saudi Arabia,Saudi Arabia
211,SEN,1458.081584,10180.00031,0.642096144,15854324,Senegal,Senegal,Senegal
